Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log Ratio (filtered)
regulär	15	1	1	4.88
verstärkt	109	2	2	4.87
Regel	112	2	1	4.77
Klimaschutz	112	2	1	4.77
Tigung	16	1	1	4.75
Geschlechtergerechtigkeit	16	1	1	4.75
Verstärkung	17	1	1	4.63
bieten	118	2	2	4.59
Gender	18	1	1	4.52
trennen	18	1	1	4.52
Kontinent	18	1	1	4.52
Zentralbank	18	1	1	4.52
demografisch	18	1	1	4.52
Menschenbild	18	1	1	4.52
begreifen	19	1	1	4.41
Gremium	19	1	1	4.41
Österreich	728	5	2	4.37
Angst	20	1	1	4.31
bedeutend	20	1	1	4.31
halb	20	1	1	4.31
Medizin	21	1	1	4.22
Sozialsystem	21	1	1	4.22
Emanzipation	21	1	1	4.22
Organisation	136	2	2	4.1
seit	137	2	2	4.07
Landesverteidigung	25	1	1	3.88
Vereinbarung	25	1	1	3.88
Steuerung	25	1	1	3.88
Asylverfahren	25	1	1	3.88
sauber	25	1	1	3.88
Mindestlohn	25	1	1	3.88
frühzeitig	26	1	1	3.8
Abschluss	27	1	1	3.73
derjenige	27	1	1	3.73
sogar	28	1	1	3.66
Verlust	28	1	1	3.66
weltweit	157	2	2	3.62
neu	826	5	3	3.55
in	9187	30	8	3.54
Realität	30	1	1	3.53
voraus	31	1	1	3.47
Weg	168	2	1	3.39
eröffnen	33	1	1	3.35
Quelle	36	1	1	3.19
heit	36	1	1	3.19
qualifiziert	37	1	1	3.14
Massnahmen	38	1	1	3.09
Maß	39	1	1	3.04
Zung	39	1	1	3.04
Digitalisierung	192	2	2	2.97
mehr	911	5	4	2.96
be	41	1	1	2.95
schen	41	1	1	2.95
Finanzmarkt	41	1	1	2.95
immer	405	3	3	2.93
Priorität	42	1	1	2.9
Alltag	42	1	1	2.9
Entwicklung	413	3	3	2.85
Mitbestimmung	45	1	1	2.78
hochwertig	46	1	1	2.74
sehr	47	1	1	2.7
--	211	2	1	2.67
darum	48	1	1	2.66
Chance	214	2	2	2.63
Interesse	217	2	1	2.59
ändern	52	1	1	2.52
Partnerschaft	52	1	1	2.52
Einwanderung	54	1	1	2.45
Zeit	231	2	1	2.4
dieser	1496	1	1	2.38
ständig	58	1	1	2.32
er	238	2	1	2.31
prägen	60	1	1	2.26
Konflikt	61	1	1	2.24
Globalisierung	61	1	1	2.24
Klima	61	1	1	2.24
entlasten	62	1	1	2.21
Lausanne	62	1	1	2.21
Tourismus	67	1	1	2.07
Parteitag	67	1	1	2.07
um	1394	1	1	2.06
Bewegung	69	1	1	2.02
sen	72	1	1	1.95
qualitativ	72	1	1	1.95
erleichtern	77	1	1	1.84
Ende	81	1	1	1.76
a	82	1	1	1.74
schon	82	1	1	1.74
Geld	86	1	1	1.66
Gruppe	87	1	1	1.64
Würde	87	1	1	1.64
legen	88	1	1	1.62
Selbstbestimmung	92	1	1	1.55
Jahrhundert	94	1	1	1.52
Reduktion	95	1	1	1.5
Weiterbildung	96	1	1	1.48
brauchen	598	3	2	1.46
Kampf	98	1	1	1.45
indem	98	1	1	1.45
Strategie	99	1	1	1.43
sowohl	103	1	1	1.37
entstehen	103	1	1	1.37
Möglichkeit	338	2	2	1.36
Kontrolle	108	1	1	1.3
finden	111	1	1	1.26
Schutz	357	2	2	1.23
Mobilität	116	1	1	1.19
hin	117	1	1	1.18
dürfen	369	2	2	1.15
Frage	120	1	1	1.14
Steuer	121	1	1	1.13
Kapitel	122	1	1	1.12
Entscheidung	128	1	1	1.05
ausreichend	128	1	1	1.05
dass	1004	4	3	1.05
können	1342	5	5	1.04
nicht	1693	6	4	1.02
zwischen	392	2	2	1.01
Gesundheit	132	1	1	1.01
Fokus	133	1	1	1.0
Lösung	133	1	1	1.0
Vielfalt	135	1	1	0.98
Krise	137	1	1	0.96
bereits	139	1	1	0.94
Umwelt	139	1	1	0.94
Frieden	140	1	1	0.93
dazu	414	2	2	0.89
Ort	144	1	1	0.89
Regelung	146	1	1	0.87
n	147	1	1	0.86
lehnen	150	1	1	0.83
Teil	152	1	1	0.82
leisten	157	1	1	0.77
Voraussetzung	161	1	1	0.74
Arbeit	448	2	2	0.73
Basis	165	1	1	0.71
